 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,AR,Round,Solidity
401,5_8p4_28p68:slice:25,285,121.311,1237.525,121.311,1237.525,23.936,15.160,157.399,0.440,1.579,0.633,0.701
402,5_8p4_28p68:slice:26,926,757.629,243.597,757.629,243.597,80.814,14.589,110.388,0.357,5.539,0.181,0.864
403,5_8p4_28p68:slice:26,41,260.329,284.939,260.329,284.939,9.033,5.779,48.688,0.910,1.563,0.640,0.863
404,5_8p4_28p68:slice:26,1769,203.262,400.362,203.262,400.362,90.336,24.933,111.190,0.462,3.623,0.276,0.883
405,5_8p4_28p68:slice:26,59,1115.212,367.195,1115.212,367.195,9.620,7.809,23.996,0.976,1.232,0.812,0.922
406,5_8p4_28p68:slice:26,1666,511.672,596.178,511.672,596.178,90.385,23.469,111.610,0.459,3.851,0.260,0.877
407,5_8p4_28p68:slice:26,1130,946.781,704.604,946.781,704.604,87.798,16.387,106.488,0.386,5.358,0.187,0.858
408,5_8p4_28p68:slice:26,291,1247.167,743.149,1247.167,743.149,39.058,9.486,99.823,0.505,4.117,0.243,0.886
409,5_8p4_28p68:slice:26,465,1172.904,877.975,1172.904,877.975,51.525,11.491,100.108,0.469,4.484,0.223,0.895
410,5_8p4_28p68:slice:26,385,111.918,936.695,111.918,936.695,51.282,9.559,99.421,0.413,5.365,0.186,0.879
411,5_8p4_28p68:slice:26,235,259.879,924.683,259.879,924.683,45.755,6.539,159.281,0.293,6.997,0.143,0.674
412,5_8p4_28p68:slice:26,260,653.385,968.200,653.385,968.200,35.466,9.334,95.790,0.548,3.800,0.263,0.906
413,5_8p4_28p68:slice:26,324,198.806,975.432,198.806,975.432,43.124,9.566,96.873,0.478,4.508,0.222,0.898
414,5_8p4_28p68:slice:26,265,1142.247,1014.945,1142.247,1014.945,35.584,9.482,95.680,0.543,3.753,0.266,0.900
415,5_8p4_28p68:slice:26,1719,549.765,1039.370,549.765,1039.370,77.591,28.208,115.420,0.581,2.751,0.364,0.901
416,5_8p4_28p68:slice:26,255,733.167,1174.410,733.167,1174.410,33.823,9.599,92.496,0.585,3.523,0.284,0.909
417,5_8p4_28p68:slice:26,284,121.268,1237.504,121.268,1237.504,23.756,15.221,157.452,0.444,1.561,0.641,0.701
418,5_8p4_28p68:slice:27,1223,757.895,246.135,757.895,246.135,84.503,18.427,105.306,0.412,4.586,0.218,0.862
419,5_8p4_28p68:slice:27,41,259.573,285.207,259.573,285.207,8.737,5.975,49.205,0.928,1.462,0.684,0.882
420,5_8p4_28p68:slice:27,1784,205.288,403.268,205.288,403.268,84.465,26.892,109.414,0.492,3.141,0.318,0.881
421,5_8p4_28p68:slice:27,57,1115.342,367.167,1115.342,367.167,9.362,7.752,24.750,0.985,1.208,0.828,0.905
422,5_8p4_28p68:slice:27,1903,512.965,597.379,512.965,597.379,91.024,26.619,109.644,0.498,3.419,0.292,0.887
